Ref,Val,Package,PosX,PosY,Rot,Side
"C97","1uf","C_0402_1005Metric",59.419301,34.799700,0.000000,bottom
"C101","0.01uf","C_0201_0603Metric",57.569301,34.839700,135.000000,bottom
"C103","1uf","C_0402_1005Metric",58.609301,31.219700,0.000000,bottom
"C104","0.01uf","C_0201_0603Metric",63.111800,43.325000,0.000000,bottom
"C105","1uf","C_0402_1005Metric",58.559301,43.939700,90.000000,bottom
"C106","0.01uf","C_0201_0603Metric",64.139301,34.669700,-45.000000,bottom
"C107","0.001uf","C_0201_0603Metric",61.019301,33.809700,0.000000,bottom
"C108","0.001uf","C_0201_0603Metric",55.009301,42.124700,90.000000,bottom
"C109","1uf","C_0402_1005Metric",56.779301,33.559700,90.000000,bottom
"C110","0.01uf","C_0201_0603Metric",59.569301,43.779700,90.000000,bottom
"C111","0.01uf","C_0201_0603Metric",58.874301,33.299700,0.000000,bottom
"C125","1uf","C_0402_1005Metric",59.829301,32.299700,180.000000,bottom
"C162","100uf","C_1206_3216Metric",29.230000,29.830000,-90.000000,bottom
"C164","4.7uf","C_0402_1005Metric",31.779411,51.509411,45.000000,bottom
"C165","0.47uf","C_0402_1005Metric",34.410000,41.950000,90.000000,bottom
"C166","0.47uf","C_0402_1005Metric",42.150000,43.700000,-90.000000,bottom
"C171","4.7uf","C_0402_1005Metric",45.166800,47.280000,-90.000000,bottom
"C172","4.7uf","C_0402_1005Metric",27.426800,30.250000,-90.000000,bottom
"C173","4.7uf","C_0402_1005Metric",42.986800,53.780000,0.000000,bottom
"C174","0.1uf","C_0201_0603Metric",41.201800,60.525000,180.000000,bottom
"C176","0.47uf","C_0201_0603Metric",42.416800,50.180000,0.000000,bottom
"C178","0.47uf","C_0201_0603Metric",41.296800,53.830000,180.000000,bottom
"C180","0.47uf","C_0201_0603Metric",44.266800,45.280000,-90.000000,bottom
"C182","0.47uf","C_0201_0603Metric",39.716800,51.280000,45.000000,bottom
"C186","0.047uf","C_0201_0603Metric",5.111800,49.330000,180.000000,bottom
"C187","0.047uf","C_0201_0603Metric",8.571800,56.580000,0.000000,bottom
"C188","0.047uf","C_0201_0603Metric",5.566800,30.330000,180.000000,bottom
"C189","0.047uf","C_0201_0603Metric",9.121800,37.630000,0.000000,bottom
"C190","DNP","C_0201_0603Metric",6.266800,44.885000,90.000000,bottom
"C191","4.7uf","C_0402_1005Metric",-5.583200,49.230000,180.000000,bottom
"C192","4.7uf","C_0402_1005Metric",-5.583200,58.280000,180.000000,bottom
"C193","4.7uf","C_0402_1005Metric",-5.263200,41.070000,180.000000,bottom
"C194","4.7uf","C_0402_1005Metric",8.816800,60.530000,90.000000,bottom
"C197","0.47uf","C_0201_0603Metric",-4.813200,47.380000,180.000000,bottom
"C198","0.47uf","C_0201_0603Metric",43.841800,11.420000,0.000000,bottom
"C200","0.47uf","C_0201_0603Metric",30.985324,47.975717,-45.000000,bottom
"C202","0.047uf","C_0201_0603Metric",37.696800,11.980000,180.000000,bottom
"C203","0.047uf","C_0201_0603Metric",41.191800,19.290000,0.000000,bottom
"C204","0.47uf","C_0201_0603Metric",43.246800,34.730000,0.000000,bottom
"C205","0.47uf","C_0201_0603Metric",-4.813200,50.830000,180.000000,bottom
"C206","4.7uf","C_0402_1005Metric",37.236800,34.995000,90.000000,bottom
"C207","0.47uf","C_0201_0603Metric",-4.813200,45.730000,180.000000,bottom
"C208","dnp","C_0201_0603Metric",38.246800,14.745000,-90.000000,bottom
"C212","0.047uf","C_0201_0603Metric",34.596800,58.280000,-90.000000,bottom
"C213","330uf","C_1206_3216Metric",31.016800,56.442500,90.000000,bottom
"C214","4.7uf","C_0402_1005Metric",34.816800,46.830000,90.000000,bottom
"C215","10uf","C_0402_1005Metric",36.446800,58.100000,-90.000000,bottom
"C216","0.47uf","C_0201_0603Metric",35.496800,58.280000,-90.000000,bottom
"C217","100uf","C_1206_3216Metric",36.379300,55.730000,180.000000,bottom
"C218","4.7uf","C_0402_1005Metric",33.316800,55.010000,90.000000,bottom
"C219","0.47uf","C_0201_0603Metric",34.166800,44.853726,45.000000,bottom
"C220","0.047uf","C_0201_0603Metric",26.526800,30.520000,-90.000000,bottom
"C222","4.7uf","C_0402_1005Metric",41.486800,40.130000,180.000000,bottom
"C223","4.7uf","C_0402_1005Metric",31.066800,40.430000,135.000000,bottom
"C224","0.47uf","C_0201_0603Metric",33.846800,43.380000,0.000000,bottom
"C225","0.47uf","C_0201_0603Metric",32.922848,40.983952,-45.000000,bottom
"C226","0.47uf","C_0201_0603Metric",33.343074,45.703726,-45.000000,bottom
"C227","0.47uf","C_0201_0603Metric",36.466800,45.780000,90.000000,bottom
"C228","0.22uf","C_0402_1005Metric",25.636800,55.180000,90.000000,bottom
"C229","0.47uf","C_0201_0603Metric",-4.783200,43.330000,180.000000,bottom
"C230","0.047uf","C_0201_0603Metric",32.181800,46.670000,180.000000,bottom
"C231","0.047uf","C_0201_0603Metric",-4.828200,55.980000,180.000000,bottom
"C232","0.047uf","C_0201_0603Metric",31.896800,40.920000,-45.000000,bottom
"C234","4.7uf","C_0402_1005Metric",39.716800,42.280000,45.000000,bottom
"C236","0.47uf","C_0201_0603Metric",36.071800,51.180000,180.000000,bottom
"C239","0.22uf","C_0201_0603Metric",35.321800,48.780000,180.000000,bottom
"C241","4.7uf","C_0402_1005Metric",36.466800,43.550000,-90.000000,bottom
"C243","0.47uf","C_0201_0603Metric",32.416800,48.080000,135.000000,bottom
"C250","0.1uf","C_0201_0603Metric",0.556800,67.310000,90.000000,bottom
"C253","0.1uf","C_0201_0603Metric",11.851800,66.995000,180.000000,bottom
"C255","0.47uf","C_0201_0603Metric",38.366800,46.380000,0.000000,bottom
"C256","0.47uf","C_0201_0603Metric",37.266800,41.730000,45.000000,bottom
"C257","100uf","C_1206_3216Metric",27.416800,56.392500,90.000000,bottom
"C260","0.047uf","C_0201_0603Metric",-4.828200,53.480000,180.000000,bottom
"C261","0.047uf","C_0201_0603Metric",6.516800,59.600000,90.000000,bottom
"C262","0.047uf","C_0201_0603Metric",4.816800,59.580000,90.000000,bottom
"C263","0.47uf","C_0201_0603Metric",29.360000,50.280000,-90.000000,bottom
"C264","0.47uf","C_0201_0603Metric",40.315000,54.690000,0.000000,bottom
"C278","0.47uf","C_0201_0603Metric",35.516800,39.380000,0.000000,bottom
"C279","0.47uf","C_0201_0603Metric",32.416800,38.380000,-135.000000,bottom
"C280","0.47uf","C_0201_0603Metric",43.271800,48.780000,180.000000,bottom
"C281","0.47uf","C_0201_0603Metric",39.740526,47.303726,45.000000,bottom
"C284","0.47uf","C_0201_0603Metric",1.386800,56.680000,180.000000,bottom
"C285","0.47uf","C_0201_0603Metric",1.386800,47.530000,180.000000,bottom
"C286","0.047uf","C_0201_0603Metric",3.121800,56.580000,180.000000,bottom
"C287","0.047uf","C_0201_0603Metric",3.121800,47.630000,180.000000,bottom
"C288","0.047uf","C_0201_0603Metric",5.271800,55.580000,180.000000,bottom
"C289","0.047uf","C_0201_0603Metric",7.086800,55.580000,180.000000,bottom
"C290","0.047uf","C_0201_0603Metric",10.246800,56.580000,0.000000,bottom
"C291","0.047uf","C_0201_0603Metric",11.071800,54.330000,180.000000,bottom
"C292","0.047uf","C_0201_0603Metric",11.816800,56.580000,180.000000,bottom
"C293","0.047uf","C_0201_0603Metric",13.411800,56.580000,180.000000,bottom
"C294","0.047uf","C_0201_0603Metric",12.866800,53.575000,-90.000000,bottom
"C295","0.047uf","C_0201_0603Metric",8.616800,47.580000,0.000000,bottom
"C296","0.047uf","C_0201_0603Metric",14.466800,48.875000,-90.000000,bottom
"C297","0.047uf","C_0201_0603Metric",6.216800,48.530000,0.000000,bottom
"C298","0.047uf","C_0201_0603Metric",10.916800,48.830000,0.000000,bottom
"C299","0.047uf","C_0201_0603Metric",8.466800,49.730000,-90.000000,bottom
"C300","0.047uf","C_0201_0603Metric",12.046800,47.630000,0.000000,bottom
"C301","0.047uf","C_0201_0603Metric",10.261800,47.580000,180.000000,bottom
"C304","0.47uf","C_0201_0603Metric",1.786800,28.530000,180.000000,bottom
"C305","0.47uf","C_0201_0603Metric",1.836800,37.730000,180.000000,bottom
"C306","0.047uf","C_0201_0603Metric",5.871800,36.630000,180.000000,bottom
"C307","0.047uf","C_0201_0603Metric",12.471800,37.630000,180.000000,bottom
"C308","0.047uf","C_0201_0603Metric",14.166800,37.630000,180.000000,bottom
"C309","0.047uf","C_0201_0603Metric",13.316800,34.660000,-90.000000,bottom
"C310","0.047uf","C_0201_0603Metric",11.471800,35.630000,180.000000,bottom
"C311","0.047uf","C_0201_0603Metric",6.771800,29.530000,0.000000,bottom
"C312","0.047uf","C_0201_0603Metric",12.766800,28.580000,0.000000,bottom
"C313","0.047uf","C_0201_0603Metric",10.816800,28.580000,180.000000,bottom
"C314","0.047uf","C_0201_0603Metric",9.216800,28.580000,0.000000,bottom
"C315","0.047uf","C_0201_0603Metric",7.521800,36.630000,180.000000,bottom
"C316","0.047uf","C_0201_0603Metric",10.916800,37.630000,0.000000,bottom
"C317","0.047uf","C_0201_0603Metric",3.571800,37.630000,180.000000,bottom
"C318","0.047uf","C_0201_0603Metric",15.066800,29.835000,-90.000000,bottom
"C319","0.047uf","C_0201_0603Metric",8.966800,30.730000,-90.000000,bottom
"C320","0.047uf","C_0201_0603Metric",11.666800,29.780000,0.000000,bottom
"C321","0.047uf","C_0201_0603Metric",3.546800,28.630000,180.000000,bottom
"C323","0.047uf","C_0201_0603Metric",41.156800,12.430000,-90.000000,bottom
"C324","0.047uf","C_0201_0603Metric",41.566800,38.325000,-90.000000,bottom
"C325","0.047uf","C_0201_0603Metric",38.821800,11.200000,0.000000,bottom
"C326","0.047uf","C_0201_0603Metric",46.141800,19.350000,180.000000,bottom
"C327","0.047uf","C_0201_0603Metric",35.696800,10.330000,180.000000,bottom
"C328","0.047uf","C_0201_0603Metric",41.346800,10.250000,0.000000,bottom
"C329","0.047uf","C_0201_0603Metric",28.922848,48.123952,-45.000000,bottom
"C330","0.047uf","C_0201_0603Metric",43.761800,18.040000,180.000000,bottom
"C331","0.047uf","C_0201_0603Metric",44.441800,19.300000,180.000000,bottom
"C332","0.47uf","C_0201_0603Metric",34.071800,10.320000,180.000000,bottom
"C333","0.047uf","C_0201_0603Metric",42.956800,10.250000,180.000000,bottom
"C334","0.047uf","C_0201_0603Metric",40.716800,35.430000,-90.000000,bottom
"C335","0.047uf","C_0201_0603Metric",35.736800,19.320000,180.000000,bottom
"C336","0.047uf","C_0201_0603Metric",42.816800,19.300000,0.000000,bottom
"C337","0.047uf","C_0201_0603Metric",38.026800,18.340000,180.000000,bottom
"C338","0.047uf","C_0201_0603Metric",44.891800,10.250000,0.000000,bottom
"C339","0.047uf","C_0201_0603Metric",43.416800,38.830000,90.000000,bottom
"C340","0.047uf","C_0201_0603Metric",39.761800,18.320000,180.000000,bottom
"C341","0.47uf","C_0201_0603Metric",33.991800,19.320000,180.000000,bottom
"C342","0.47uf","C_0201_0603Metric",41.966800,46.080000,-90.000000,bottom
"C343","0.47uf","C_0201_0603Metric",31.240526,52.903726,-135.000000,bottom
"C344","0.47uf","C_0201_0603Metric",36.766800,39.310000,-90.000000,bottom
"C346","0.47uf","C_0201_0603Metric",33.585000,35.920000,180.000000,bottom
"C347","0.47uf","C_0201_0603Metric",34.520000,37.020000,180.000000,bottom
"C349","0.47uf","C_0201_0603Metric",33.680000,38.535000,-90.000000,bottom
"C350","0.47uf","C_0201_0603Metric",29.420000,36.605000,-90.000000,bottom
"C351","0.47uf","C_0201_0603Metric",44.666800,40.910000,90.000000,bottom
"C352","0.47uf","C_0201_0603Metric",29.310000,33.270000,0.000000,bottom
"C353","4.7uf","C_0402_1005Metric",26.596800,48.420000,180.000000,bottom
"C354","0.47uf","C_0201_0603Metric",31.850000,44.660000,180.000000,bottom
"C355","0.47uf","C_0201_0603Metric",32.646800,42.480000,0.000000,bottom
"C356","0.47uf","C_0201_0603Metric",28.022848,40.123952,-45.000000,bottom
"C357","0.47uf","C_0201_0603Metric",29.866800,45.130000,-45.000000,bottom
"C361","0.047uf","C_0201_0603Metric",45.596800,16.410000,-90.000000,bottom
"C362","dnp","C_0201_0603Metric",41.076800,14.735000,-90.000000,bottom
"C363","0.047uf","C_0201_0603Metric",47.216800,11.370000,-90.000000,bottom
"R56","1.05","R_0201_0603Metric",61.309301,31.819700,90.000000,bottom
"R77","16.9","R_0201_0603Metric",35.206800,62.870000,-90.000000,bottom
"R78","16.9","R_0201_0603Metric",37.716800,62.910000,-90.000000,bottom
"R79","16.9","R_0201_0603Metric",40.296800,62.910000,-90.000000,bottom
"R88","16.9","R_0201_0603Metric",42.906800,62.870000,-90.000000,bottom
"R89","16.9","R_0201_0603Metric",43.641800,55.480000,0.000000,bottom
"R94","DNP - 4.7K","R_0201_0603Metric",4.966800,47.580000,0.000000,bottom
"R95","49.9","R_0201_0603Metric",7.621800,44.530000,180.000000,bottom
"R96","49.9","R_0201_0603Metric",7.471800,45.330000,0.000000,bottom
"R98","DNP - 4.7K","R_0201_0603Metric",6.056800,28.330000,180.000000,bottom
"R100","4.7k","R_0201_0603Metric",38.656800,53.780000,180.000000,bottom
"R101","4.7k","R_0201_0603Metric",36.456800,53.780000,180.000000,bottom
"R103","4.7k","R_0201_0603Metric",39.606800,39.330000,180.000000,bottom
"R104","16.9","R_0201_0603Metric",37.746800,20.085000,-90.000000,bottom
"R106","DNP","R_0201_0603Metric",25.666800,37.235000,-90.000000,bottom
"R107","0 ohms","R_0201_0603Metric",23.916800,41.580000,180.000000,bottom
"R108","0 ohms","R_0201_0603Metric",23.921800,42.380000,180.000000,bottom
"R109","0 ohms","R_0201_0603Metric",26.921800,37.530000,180.000000,bottom
"R110","49.9","R_0201_0603Metric",-2.233200,44.980000,180.000000,bottom
"R111","49.9","R_0201_0603Metric",-2.253200,45.830000,180.000000,bottom
"R112","49.9","R_0201_0603Metric",-2.433200,55.180000,180.000000,bottom
"R113","49.9","R_0201_0603Metric",3.966800,58.055000,90.000000,bottom
"R114","49.9","R_0201_0603Metric",-2.228200,43.280000,180.000000,bottom
"R115","49.9","R_0201_0603Metric",-2.433200,56.880000,180.000000,bottom
"R116","49.9","R_0201_0603Metric",-2.228200,44.130000,180.000000,bottom
"R117","49.9","R_0201_0603Metric",-2.433200,56.030000,180.000000,bottom
"R118","49.9","R_0201_0603Metric",-2.303200,47.530000,180.000000,bottom
"R119","49.9","R_0201_0603Metric",-2.433200,54.330000,180.000000,bottom
"R120","49.9","R_0201_0603Metric",-2.378200,51.780000,180.000000,bottom
"R121","49.9","R_0201_0603Metric",-2.283200,46.680000,180.000000,bottom
"R122","49.9","R_0201_0603Metric",-2.383200,50.080000,180.000000,bottom
"R123","49.9","R_0201_0603Metric",-2.433200,53.480000,180.000000,bottom
"R124","49.9","R_0201_0603Metric",-2.378200,49.230000,180.000000,bottom
"R125","49.9","R_0201_0603Metric",4.816800,58.025000,90.000000,bottom
"R126","49.9","R_0201_0603Metric",-2.228200,42.430000,180.000000,bottom
"R127","49.9","R_0201_0603Metric",-2.388200,52.630000,180.000000,bottom
"R128","49.9","R_0201_0603Metric",-2.378200,50.930000,180.000000,bottom
"R129","49.9","R_0201_0603Metric",-2.333200,48.380000,180.000000,bottom
"R130","16.9","R_0201_0603Metric",26.186800,47.535000,180.000000,bottom
"R131","49.9","R_0201_0603Metric",7.316800,57.980000,90.000000,bottom
"R132","49.9","R_0201_0603Metric",5.666800,58.030000,90.000000,bottom
"R133","49.9","R_0201_0603Metric",6.516800,58.010000,90.000000,bottom
"R135","78.7","R_0201_0603Metric",30.110000,42.780000,0.000000,bottom
"R136","78.7","R_0201_0603Metric",34.236800,40.260000,-90.000000,bottom
"R139","49.9","R_0201_0603Metric",39.076800,14.745000,-90.000000,bottom
"R140","49.9","R_0201_0603Metric",40.226800,14.735000,-90.000000,bottom
"R141","4.7k","R_0201_0603Metric",38.026800,10.290000,180.000000,bottom
"R147","16.9","R_0201_0603Metric",41.966800,32.930000,-90.000000,bottom
"R151","0 ohms","R_0201_0603Metric",6.006800,68.235000,-90.000000,bottom
"R152","10k","R_0201_0603Metric",6.996800,66.195000,-90.000000,bottom
"R153","330","R_0201_0603Metric",7.016800,63.745000,90.000000,bottom
"R154","10k","R_0201_0603Metric",8.136800,66.205000,-90.000000,bottom
"R155","330","R_0201_0603Metric",8.156800,63.755000,90.000000,bottom
"R156","499","R_0805_2012Metric",10.374300,69.575000,0.000000,bottom
"R157","20.5k","R_0805_2012Metric",14.146800,69.555000,0.000000,bottom
"R163","49.9","R_0201_0603Metric",-2.228200,41.580000,180.000000,bottom
"R164","16.9","R_0201_0603Metric",41.186800,32.935000,-90.000000,bottom
"R165","16.9","R_0201_0603Metric",47.191800,36.850000,0.000000,bottom
"R166","16.9","R_0201_0603Metric",44.386800,32.550000,0.000000,bottom
"R167","16.9","R_0201_0603Metric",37.576800,32.990000,-90.000000,bottom
"R168","16.9","R_0201_0603Metric",42.756800,32.800000,-90.000000,bottom
"R169","16.9","R_0201_0603Metric",47.161800,36.010000,0.000000,bottom
"R170","16.9","R_0201_0603Metric",47.189300,39.840000,0.000000,bottom
"R171","16.9","R_0201_0603Metric",47.176800,37.640000,0.000000,bottom
"R172","16.9","R_0201_0603Metric",47.171800,38.500000,0.000000,bottom
"R173","16.9","R_0201_0603Metric",40.076800,33.030000,-90.000000,bottom
"R174","16.9","R_0201_0603Metric",39.226800,32.990000,-90.000000,bottom
"R175","16.9","R_0201_0603Metric",38.386800,32.995000,-90.000000,bottom
"R176","16.9","R_0201_0603Metric",36.636800,32.875000,-90.000000,bottom
"R177","16.9","R_0201_0603Metric",35.426800,33.615000,-90.000000,bottom
"R178","16.9","R_0201_0603Metric",34.576800,33.585000,-90.000000,bottom
"R179","16.9","R_0201_0603Metric",33.706800,33.555000,-90.000000,bottom
"R180","16.9","R_0201_0603Metric",31.846800,33.310000,-90.000000,bottom
"R181","16.9","R_0201_0603Metric",32.456800,36.500000,-90.000000,bottom
"U42","FT230XQ","QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm",3.666800,64.580000,90.000000,bottom
